Name,senolytic,Anti-aging Probability,BalabanJ,Chi2v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,FpDensityMorgan3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa3,MaxAbsPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MolMR,MolWt,PEOE_VSA12,PEOE_VSA14,PEOE_VSA3,PEOE_VSA5,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA7,SMR_VSA9,SlogP_VSA1,VSA_EState2,VSA_EState5,VSA_EState7
Dexamethasone acetate,0,0.02120612,1.757846454,10.37129375,58.39900225,24.59666634,4.390415048,18.12197262,24.8355694,2.612903226,-1.86,31,403.256,2.652576806,0.457741701,0.095263369,0.302565674,109.4916,434.504,5.783244946,5.969305288,4.390415048,0,6.103966388,17.53579518,28.58369908,23.80116485,0,0,36.15771853,-2.803526016,4.28785191
Glipizide,0,0.06489012,1.480862253,9.289167639,16.05440567,18.00687135,0,22.53843203,12.96557803,2.387096774,-3.01,31,418.329,6.74480073,0.350317799,0.008342123,0.328409891,114.9744,445.545,0,6.031114512,22.91840755,0,16.78625504,21.9615854,0,53.6104629,0,15.35567207,32.16274008,-0.319559111,8.425448093
Loxapine succinate,0,0.02665774,1.838164839,6.37243819,0,0,0,0,5.022633314,2.608695652,-2.04,23,309.671,2.799077046,0.454323131,0.694568164,0.15264514,93.235,327.815,0,0,4.992404733,0,5.563451492,23.12394595,4.992404733,53.05065428,11.49902367,4.736862954,9.561210536,2.525720375,0
Hydroxyzine dihydrochloride,0,0.019271135,1.659765853,7.014795848,0,0,0,12.64872279,13.21376393,2.192307692,-1.43,26,347.696,5.286236403,0.393980333,0.090898388,0.069785866,105.6548,374.912,0,0,0,0,25.86248672,11.60093989,0,70.74683991,0,0,4.973651397,0,0
Diltiazem hydrochloride,0,0.09334688,2.055852319,8.285917447,12.07327168,9.589074368,0,11.15711776,13.08951281,2.448275862,-2.51,29,388.319,4.915760021,0.496768207,0.208038837,0.302967306,114.495,414.527,0,5.969305288,0,11.76188495,18.04712185,29.32575624,0,54.09438804,5.749511833,9.636772685,30.15823089,0.052814671,-0.916243386
Azilsartan medoxomil,0,0.29583988,1.31797819,9.282606082,17.54775036,14.38361155,0,23.69082829,36.01990914,2.452380952,-5.65,42,544.35,5.123818461,0.51863583,0.139454592,0.464935725,149.1002,568.542,0,17.54775036,14.38361155,0,29.7484913,17.00270672,0,110.544955,28.52522381,16.31530802,43.23900566,-1.376018023,0
Astemizole,0,0.08006926,1.210065603,8.995062504,0,4.390415048,0,5.817220841,12.58659724,2.382352941,-3.38,34,427.333,5.228571732,0.496768219,0.211723978,0.20392163,135.0177,458.581,5.948339281,0,9.374393569,0,24.68795538,16.98174072,0,89.74052865,5.749511833,10.05365156,7.429090279,1.58299463,3.222506938
Clindamycin hydrochloride,0,0.021125194,2.094099659,9.35868765,41.27079262,20.11411937,0,11.94902056,5.917906046,2.555555556,-0.09,27,391.727,5.2911618,0.387508441,0.147484883,0.237217365,106.8751,424.991,5.907179729,0,0,23.36282484,17.46076953,29.27000457,5.917906046,0,0,5.316788604,14.94964834,0.349725276,-0.097964156
Terfenadine,0,0.097734325,1.317281346,11.14438143,11.7050172,10.21305479,0,11.33289652,0,1.771428571,-2.46,35,430.357,6.033378319,0.388420735,0.127760332,0.117481531,144.3826,471.685,0,0,0,0,6.103966388,0,5.917906046,107.1829449,0,0,2.488420782,0.176362198,3.234219398
Cefotaxime sodium salt,0,0.02237146,1.771753118,8.068939734,35.16868368,24.28467613,0,40.16705089,0,2.766666667,-3.13,30,438.338,4.088768778,0.543192876,0.17663372,0.302451372,103.7611,454.466,0,5.969305288,4.983978521,23.09867083,11.6663446,57.69488434,5.155712727,22.34413461,0,16.15698348,57.54433745,-3.347918795,0
Tetracycline hydrochloride,0,0.029873094,2.047922027,8.961853969,74.9674748,39.91624853,0,17.54772461,0,2.34375,-3.21,32,420.248,2.478484044,0.50965062,0.134831349,0.255450836,109.5409,444.44,5.783244946,0,0,0,17.20634313,17.47366962,17.56947957,51.99054299,5.749511833,5.733667477,39.85973179,-7.891260886,-0.199982048
Verapamil hydrochloride,0,0.04304285,2.023333419,8.653784145,5.414990469,5.261891555,0,5.917906046,11.49902367,1.96969697,-2.91,33,416.307,6.326433952,0.492869979,0.164510306,0.160544318,131.656,454.611,0,0,0,0,39.92340195,0,5.917906046,47.52510539,29.06726865,18.94745182,2.313267957,2.987343779,2.611084525
Dipyridamole,0,0.14706452,1.937972802,9.355580958,0,20.42610958,0,26.42752786,49.10910562,1.138888889,-2.54,36,464.316,6.049910617,0.394534284,0.077237835,0.227803311,140.0252,504.636,11.89667856,0,9.967957042,0,26.42752786,34.56580555,0,0,0,19.59963892,27.77925386,2.349613673,6.609832639
Chlorhexidine,0,0.08819005,1.453097179,8.154424564,0,0,0,23.83821827,34.50955199,1.235294118,-3.5,34,475.218,11.39021007,0.356228395,0.001479784,0.199274326,141.801,505.458,0,0,0,0,0,58.4148706,0,58.57620318,0,31.90073162,0,0.112430133,3.703364239
Loperamide hydrochloride,0,0.049773447,1.57320225,9.903514796,11.01604128,9.901064579,0,5.907179729,24.28509818,1.882352941,-2.66,34,443.784,4.901083782,0.385068786,0.082943237,0.236730315,137.9978,477.048,5.907179729,0,0,0,5.601050811,17.50811962,0,106.6421267,0,0,17.88365408,0.082943237,1.969523964
Chlortetracycline hydrochloride,0,0.022889841,2.06617596,9.485866502,74.9674748,39.91624853,0,22.57035792,0,2.333333333,-2.92,33,455.701,2.748761823,0.50965062,0.002928591,0.255450836,114.5509,478.885,5.783244946,0,0,0,17.20634313,29.07460951,17.56947957,50.94680924,5.749511833,5.733667477,39.98827793,-8.290293671,-0.259179579
Tamoxifen citrate,0,0.16238002,1.995947377,7.115272622,0,0,0,0,6.606881965,1.785714286,-2.84,28,342.292,5.113643813,0.492264494,0.692414394,0.118903331,119.582,371.524,0,0,0,0,0,11.14620906,0,101.6194934,5.749511833,4.736862954,2.123016168,0.912751165,0.9675864
Nicergoline,0,0.08299415,1.435457718,9.69417303,5.601050811,4.794537184,0,17.92905216,12.17033346,2.935483871,-2.22,31,458.186,3.301620449,0.461706117,0.172018967,0.33924946,122.0545,484.394,0,5.969305288,4.794537184,0,12.17033346,32.80217412,12.96557803,64.01907298,0,0,18.97614905,-0.17415262,7.203145646
Canrenoic acid potassium salt,0,0.020725062,1.655215948,9.53132254,11.5703561,19.80212916,0,23.03404751,37.01618301,2.692307692,-1.42,26,328.238,2.3721341,0.550169923,0.055899641,0.15551663,95.8068,357.47,0,0,0,0,5.601050811,11.75255023,28.58369908,23.80116485,0,5.106527395,22.81914372,0.443873291,11.61848807
Thioproperazine dimesylate,0,0.021368887,1.589134726,11.37246505,10.02329115,8.417796984,0,0,4.895483476,2.366666667,-1.58,30,416.402,4.381636816,0.339557872,0.342869287,0.242137238,123.4398,446.642,10.02329115,0,12.72301298,0,16.27025602,33.15994865,0,42.46456948,0,4.899909731,9.857569161,0,1.034537116
Dihydroergotamine tartrate,0,0.81167597,1.45E-07,26.37479686,59.25378583,38.98027789,0,72.22566801,64.70395536,1.395348837,-7.46,86,1092.786,8.362150368,0.360880465,0.171240745,0.280215476,314.7324,1167.378,35.07869011,0,0,0,11.83581209,57.24892824,11.83581209,142.8362692,0,10.63357721,100.8044625,-6.622342172,10.25232683
Erythromycin,0,0.441673,2.183066335,16.47185399,107.535145,35.12171134,0,31.40827209,6.420821623,2.039215686,-1.3,51,666.401,9.506326969,0.458936581,0.093554949,0.31118842,186.258,733.937,0,5.969305288,0,0,47.63983961,11.75255023,23.67162418,0,0,0,29.75921156,-4.976776577,-9.707663812
Chloroxine,0,0.16238002,2.966872934,3.402789212,0,5.106527395,0,10.77214515,15.92555825,2.769230769,-0.99,13,209.011,1.321162373,0.50427159,0.026234568,0.160158721,53.4278,214.051,0,0,0,0,10.04526663,34.10480471,0,34.4412114,5.749511833,0,3.983518519,-0.026234568,1.57808642
Didanosine,0,0.056652427,2.016013442,4.028379579,0,4.794537184,0,24.49801642,11.16387794,3.176470588,-1.73,17,224.135,1.633119586,0.39367648,0.011053162,0.278390971,58.3785,236.231,0,0,9.967957042,0,25.3654885,11.16387794,0,23.00844423,0,5.559266895,22.07773747,0,4.138245544
Josamycin,0,0.18713269,2.007083857,16.92779809,121.4271586,34.49773092,0,31.60119254,12.70698215,2.310344828,-2.8,58,758.454,13.87876578,0.462224754,0.000955951,0.309435719,209.8514,828.006,0,17.90791586,0,0,36.878528,24.19407639,17.75371814,24.30408043,0,0,52.50865839,-2.857001569,-4.329886837
Paclitaxel,0,0.17895591,1.387447664,17.3540403,112.6040952,39.2922681,4.794537184,35.30081563,5.563451492,1.951612903,-5.74,62,802.51,7.294407711,0.455736924,0.002885344,0.338014233,217.6901,853.918,0,23.87722115,9.589074368,0,35.64903719,35.56764583,16.74788698,118.8320696,0,5.316788604,83.45331185,-6.841158828,-10.51155687
Ivermectin,0,0.20181322,1.17694978,19.3523344,90.79112425,20.11411937,0,30.83668717,61.50695089,2.35483871,-2.05,62,800.514,9.734727408,0.46151707,0.007077782,0.315997774,227.3994,875.106,0,5.969305288,0,0,49.33464668,5.969305288,23.67162418,47.09941412,0,0,14.36609903,-2.097827335,6.533210576
Gallamine triethiodide,0,0.035948325,3.069462393,10.17058689,0,0,0,0,19.82064589,1,-1.5,36,450.348,8.810361314,0.483670268,0.656759259,0.203293905,153.1782,510.828,5.749511833,0,0,0,58.90280765,0,0,18.19910121,17.2485355,14.21058886,0,2.37644857,0
Neomycin sulfate,0,0.033844035,1.495599606,11.24651587,122.8919221,35.74569176,0,19.51033443,0,1.452380952,-0.76,42,568.282,6.600247727,0.393566302,0.088909132,0.186743411,138.356,614.65,0,0,0,0,24.79453001,0,34.40200486,0,0,34.40200486,0,0,-19.7771801
Dihydrostreptomycin sulfate,0,0.038178276,1.931866654,10.11393763,116.3751973,40.85221916,0,0,0,1.925,-1.98,40,542.268,6.111302635,0.393566529,0.619696776,0.18737623,132.4207,583.596,0,0,0,0,43.54721919,11.91910914,11.46733495,0,0,27.41770077,0,-1.260211084,-16.88924089
Gentamicine sulfate,0,0.01685008,1.684740507,9.910387027,60.72249231,15.31958218,0,24.79453001,12.84164325,2.151515152,-0.48,33,434.259,5.850381762,0.387562324,0.061970558,0.185231785,119.931,477.603,0,0,0,0,24.79453001,0,17.20100243,0,0,27.83457964,0,0,-4.221864506
Isoniazid,0,0.08663207,2.852627929,1.709350443,0,4.794537184,0,5.907179729,5.563451492,2.6,-1.42,10,130.086,1.294592269,0.290142928,0.303333333,0.264782751,35.8906,137.142,0,0,5.84267027,0,0,5.907179729,5.84267027,30.08987277,0,11.26846167,14.49079554,4.580778534,3.06462963
Pentylenetetrazole,0,0.022542967,2.280589439,2.628915413,0,0,0,0,0,3.2,-0.93,10,128.094,0.893984016,0.229633785,1.002314815,0.15075887,35.372,138.174,0,0,4.681802935,5.098681808,0,0,0,5.824404498,0,0,0,1.053240741,4.802037037
Chlorzoxazone,0,0.029986508,2.920939355,2.591436694,5.756062822,4.794537184,0,0,16.12235417,3.090909091,-1.22,11,165.535,1.031576236,0.416783326,0.456234568,0.407862112,41.8447,169.567,0,5.756062822,4.794537184,0,5.516700718,22.70066075,0,33.77233453,0,5.756062822,13.12747543,-0.456234568,0
Ornidazole,0,0.035410725,2.93286902,3.148060067,11.02727744,15.22084566,0,18.24262263,5.824404498,3,-1.14,14,209.548,2.209445737,0.387774617,0.036482426,0.342441306,50.3452,219.628,0,5.817862778,9.551078169,11.60093989,5.880003445,17.41880267,0,22.13556634,0,0,13.78656935,0.390679957,0.36045005
Ethosuximide,0,0.04707418,2.800001509,2.968290738,5.414990469,9.589074368,0,11.81435946,6.420821623,2.4,-0.86,10,130.082,0.916248589,0.295941069,0.125,0.232494762,36.1647,141.17,11.81435946,0,0,0,5.414990469,11.81435946,5.414990469,0,0,5.316788604,21.70159722,-0.26912037,1.076296296
Mafenide hydrochloride,0,0.018055337,3.090461035,3.954507022,10.02329115,8.417796984,0,4.895483476,6.544756406,2,-0.91,12,176.156,2.036933267,0.326497496,0.110833333,0.237545452,45.7066,186.236,10.02329115,0,13.55677072,0,4.895483476,10.02329115,10.87264121,29.82891977,0,10.87264121,0.110833333,0,0
Riluzole hydrochloride,0,0.04352814,2.38010793,3.791663957,6.362358859,13.17124514,0,5.749511833,15.34817911,2.733333333,-1.5,15,229.162,2.295918367,0.572597123,0.265138889,0.405743333,50.7154,234.202,0,6.362358859,4.983978521,13.17124514,10.21662063,26.68496499,0,18.19910121,5.749511833,10.47053043,3.910228175,-0.265138889,-4.676677178
Nitrofurantoin,0,0.22815649,2.070287586,3.088659307,22.74578749,19.70339264,0,12.30500382,0,2.823529412,-2.71,17,232.111,2.274603973,0.433061638,0.114674981,0.399592248,53.2011,238.159,5.907179729,11.91529671,9.803449708,0,12.28096765,24.03707702,5.101407526,28.00729982,0,5.316788604,31.49602891,-0.768681212,1.11625
Hydralazine hydrochloride,0,0.055005282,2.415869004,2.55355567,0,0,0,5.917906046,5.835619786,3.166666667,-1.71,12,152.116,0.971982094,0.321415293,0.094907407,0.181141176,46.3314,160.18,0,0,0,5.114250126,12.11786094,5.835619786,27.09048409,36.07713985,0,5.84267027,0,5.817205215,9.605572562
Phenelzine sulfate,0,0.020023441,2.426522347,2.189722705,0,0,0,0,0,2.5,-0.86,10,124.102,2.169025073,0.271451642,0.837314815,0.013786261,42.3361,136.198,0,0,0,0,0,0,5.84267027,35.89528683,0,11.26846167,0,5.126354875,0.997361111
Tranexamic acid,0,0.02211659,2.297820229,3.291589296,5.969305288,4.794537184,0,5.917906046,12.46266245,2.272727273,-0.57,11,142.093,2.186540209,0.48102646,0.099259259,0.305987523,42.1382,157.213,0,5.969305288,0,0,5.917906046,5.969305288,17.56947957,0,0,5.733667477,10.51810138,-0.163082011,3.62037037
Etofylline,0,0.032713126,2.947769379,3.539544942,11.24901029,9.589074368,0,13.15163837,11.16387794,2.625,-1.89,16,212.124,1.284720997,0.39451894,0.085858135,0.331703435,57.3008,224.22,0,5.689743398,9.778515705,0,12.93420204,11.16387794,14.09534397,27.16540474,0,11.24901029,27.46403809,0,1.446157407
Tranylcypromine hydrochloride,0,0.025371313,2.203814735,2.916733546,0,0,0,0,11.95974688,2.3,-0.82,10,122.106,0.929084202,0.327106926,0.432777778,0.011480028,41.7754,133.194,0,0,0,0,0,0,5.733667477,35.89528683,0,5.733667477,0,0.653888889,1.170648148
Alverine citrate salt,0,0.019946935,1.636653832,5.612565655,0,0,0,0,0,1.476190476,-1.6,21,254.227,6.135766713,0.303588298,1.156328735,0.001568177,91.64,281.443,0,0,0,0,0,0,0,71.79057367,0,0,2.575277778,0,4.887332507
Aceclofenac,0,0.016593179,2.175370707,5.424404834,18.54549254,9.589074368,0,6.420821623,26.98349067,2.347826087,-2.24,23,341.085,4.873913788,0.478721766,0.070907738,0.341343706,88.4855,354.189,0,11.93861058,4.794537184,0,22.15347453,46.51526291,0,58.0732876,0,5.316788604,22.11034948,-1.833782504,-0.070907738
Iproniazide phosphate,0,0.025468083,2.49778444,2.989050981,0,4.794537184,0,11.94902056,5.563451492,2.538461538,-1.42,13,166.119,3.20867209,0.287211967,0.1425,0.264991409,49.9749,179.223,0,0,5.425791397,0,0,5.907179729,0,30.08987277,0,10.85158279,15.17033525,-0.1425,3.175173847
Sulfamethoxazole,0,0.012147171,2.276726284,5.17973927,10.02329115,8.417796984,0,10.71334625,11.44763369,2.470588235,-2.02,17,242.195,2.562862976,0.398727717,0.117919501,0.262637665,62.9029,253.283,0,0,8.417796984,0,4.895483476,21.52854021,0,36.09208276,0,10.45576234,0.117919501,0.679936224,0
Mephenesin,0,0.030792164,2.495389588,2.912898911,6.103966388,0,0,13.21376393,0,2.692307692,-1.06,13,168.107,3.046951544,0.49052769,0.126342593,0.12184143,49.7666,182.219,0,0,0,0,6.606881965,0,0,29.82891977,5.749511833,4.736862954,0,0.74537037,-0.805920257
Phenformin hydrochloride,0,0.023689471,2.220652568,3.07605039,0,0,0,11.91910914,6.544756406,2.466666667,-2.04,15,190.145,4.657834813,0.369798031,0.054102891,0.194744542,60.9252,205.265,0,0,0,0,0,11.91910914,5.733667477,35.89528683,0,16.36724469,0,-0.175331265,0.836115835
Flutamide,0,0.05439932,3.19481974,4.13074841,34.17553311,28.0801006,0,5.687386275,6.066367068,2.368421053,-2.12,19,265.126,3.668048358,0.422575227,0.128125,0.325850488,61.5661,276.214,5.907179729,6.176298517,0,0,4.923311049,17.28195228,5.917906046,33.87687097,0,5.316788604,20.77992767,-0.882864596,-4.860147156
Ampyrone,0,0.020567097,2.749966249,3.475197251,0,4.794537184,0,5.559266895,5.687386275,2.266666667,-1.97,15,190.141,1.342013328,0.392730627,0.165555556,0.294314775,60.1594,203.245,0,0,4.681802935,0,11.38131427,5.687386275,7.047671983,46.37956742,5.687386275,11.29293437,11.82796674,0,0
Levamisole hydrochloride,0,0.0102883,1.86563426,4.694704066,0,0,0,0,6.041840829,2.928571429,-0.96,14,192.202,1.319602942,0.348132813,0.374074074,0.159538803,60.649,204.298,0,0,0,0,6.041840829,16.92953672,4.992404733,35.89528683,0,0,7.117037037,1.208673627,0
Pargyline hydrochloride,0,0.04099903,2.480668699,2.862012801,0,0,0,0,6.544756406,2.583333333,-1.26,12,146.128,2.773447112,0.291126464,0.703268141,0.059883154,51.609,159.232,0,0,0,6.423349896,6.544756406,0,0,35.89528683,12.34378421,0,2.106481481,2.61363733,5.191416604
Methocarbamol,0,0.03234433,2.41075834,3.245726766,12.19720646,9.901064579,0,13.21376393,11.49902367,2.588235294,-1.95,17,226.123,4.604115583,0.49287001,0.020185185,0.404083709,60.0312,241.243,0,6.093240071,4.794537184,0,7.109797541,6.093240071,5.733667477,24.26546827,11.49902367,15.20739338,10.30650633,1.072819088,-1.866894526
Aztreonam,0,0.034229323,2.259276298,8.399971119,51.48424709,22.80140854,0,15.13070247,0,2.5,-2.78,28,418.304,4.204134384,0.478227032,0.034953586,0.362075147,95.6505,435.44,5.601050811,16.27347016,14.0837317,11.33678588,6.041840829,50.26785898,5.155712727,11.07399077,0,11.05045608,44.39737832,-3.375611657,0
Cloxacillin sodium salt,0,0.02470387,1.597975412,9.650375203,39.98824167,19.49013895,0,17.01762691,10.58608481,2.689655172,-2.52,29,417.745,2.995491596,0.54783207,0.183387398,0.257412701,104.0392,434.881,5.907179729,0,0,11.76188495,17.03377943,41.14648959,0,40.6118005,11.25737949,10.423316,38.34654791,-2.011038468,0
Lacosamide,0,0.03021459,2.481951907,3.911854165,6.041840829,9.589074368,0,18.42124142,6.544756406,2.5,-1.88,18,232.154,4.967434183,0.381996662,0.152979182,0.244753661,67.7694,250.298,11.81435946,0,0,0,6.606881965,11.81435946,0,35.89528683,0,10.63357721,22.79715108,-0.511283174,0
Pentolinium bitartrate,0,0.043204032,1.540145475,7.055521903,0,0,0,0,0,1.294117647,-0.08,17,208.179,3.957224653,0.326037207,1.3671875,0.078627626,73.8898,240.435,0,0,0,0,53.3638824,0,0,0,0,0,0,0,10.22472222
"Aminopurine, 6-benzyl",0,0.029873094,1.83503292,3.662570946,0,0,0,0,5.647177221,2.823529412,-2.43,17,214.167,1.943818397,0.364097737,0.676445998,0.182248725,65.4524,225.255,0,0,14.95193556,0,6.327320075,16.98174072,0,48.54992698,0,5.316788604,15.3775907,0.774400983,3.128515684
Tolbutamide,0,0.016785491,2.644491193,5.710407862,16.05440567,13.21233417,0,4.895483476,6.544756406,2.388888889,-1.56,18,252.21,4.36680026,0.337319865,0.082168079,0.32819354,69.8072,270.354,0,6.031114512,17.93442903,0,4.895483476,16.05440567,0,29.82891977,0,10.03888347,11.45453281,0,1.752967698
Midodrine hydrochloride,0,0.009633653,2.815288501,3.631879786,6.103966388,9.901064579,0,18.99669254,17.06247516,2.722222222,-1.79,18,236.142,3.6096548,0.496751427,0.069008881,0.233338859,66.5699,254.286,5.907179729,0,0,0,26.86831788,5.907179729,5.733667477,23.7625527,11.49902367,20.52418199,11.02198389,0.815936844,-0.88375
